index,x,y,dx,dy
a-140.4x-165.6,-140.4,-165.6,-9.851004,3.7390045
a-136.8x-165.6,-136.8,-165.6,-10.0389984,3.6440033
a-133.2x-165.6,-133.2,-165.6,-10.2220032,3.547995
a-129.6x-165.6,-129.6,-165.6,-10.4000031,3.4440063
a-126x-165.6,-126,-165.6,-10.5749969,3.3340057
a-122.4x-165.6,-122.4,-165.6,-10.7610001,3.2150024
a-118.8x-165.6,-118.8,-165.6,-10.9569977,3.0920013
a-115.2x-165.6,-115.2,-165.6,-11.1280014,2.9700073
a-111.6x-165.6,-111.6,-165.6,-11.2880035,2.8360046
a-108x-165.6,-108,-165.6,-11.4452972,2.6969971
a-104.4x-165.6,-104.4,-165.6,-11.5968994,2.5470032
a-100.8x-165.6,-100.8,-165.6,-11.744603,2.3989929
a-97.2x-165.6,-97.2,-165.6,-11.8876984,2.2470001
a-93.6x-165.6,-93.6,-165.6,-12.0272995,2.0820068
a-90x-165.6,-90,-165.6,-12.1596985,1.8989929
a-86.4x-165.6,-86.4,-165.6,-12.2948975,1.7289948
a-82.8x-165.6,-82.8,-165.6,-12.4082001,1.5529999
a-79.2x-165.6,-79.2,-165.6,-12.5264008,1.3640045
a-75.6x-165.6,-75.6,-165.6,-12.6382004,1.1680054
a-72x-165.6,-72,-165.6,-12.7415009,0.9700073
a-68.4x-165.6,-68.4,-165.6,-12.8351997,0.7670044
a-64.8x-165.6,-64.8,-165.6,-12.9226006,0.5549988
a-61.2x-165.6,-61.2,-165.6,-13.0040009,0.3389954
a-57.6x-165.6,-57.6,-165.6,-13.0763985,0.1149963
a-54x-165.6,-54,-165.6,-13.1388016,-0.1130005
a-50.4x-165.6,-50.4,-165.6,-13.1916985,-0.3429962
a-46.8x-165.6,-46.8,-165.6,-13.2351006,-0.5799957
a-43.2x-165.6,-43.2,-165.6,-13.2695,-0.823999
