FID,index,x,y,dx,dy,,
210,a-144x-172.8,-144,-172.8,-134.5169983,-176.2510071,-9.4830017,3.4510071
211,a-140.4x-172.8,-140.4,-172.8,-130.7380066,-176.1699982,-9.6619934,3.3699982
212,a-136.8x-172.8,-136.8,-172.8,-126.9599991,-176.0820007,-9.8400009,3.2820007
213,a-133.2x-172.8,-133.2,-172.8,-123.1869965,-175.9859924,-10.0130035,3.1859924
214,a-129.6x-172.8,-129.6,-172.8,-119.4179993,-175.8890076,-10.1820007,3.0890076
215,a-126x-172.8,-126,-172.8,-115.6539993,-175.7929993,-10.3460007,2.9929993
216,a-122.4x-172.8,-122.4,-172.8,-111.8799973,-175.7140045,-10.5200027,2.9140045
217,a-118.8x-172.8,-118.8,-172.8,-108.098999,-175.5910034,-10.701001,2.7910034
218,a-115.2x-172.8,-115.2,-172.8,-104.3479996,-175.4440002,-10.8520004,2.6440002
219,a-111.6x-172.8,-111.6,-172.8,-100.5950012,-175.3099976,-11.0049988,2.5099976
220,a-108x-172.8,-108,-172.8,-96.8457031,-175.1759949,-11.1542969,2.3759949
221,a-104.4x-172.8,-104.4,-172.8,-93.1027985,-175.0429993,-11.2972015,2.2429993
222,a-100.8x-172.8,-100.8,-172.8,-89.3656998,-174.8990021,-11.4343002,2.0990021
223,a-97.2x-172.8,-97.2,-172.8,-85.6339035,-174.7480011,-11.5660965,1.9480011
224,a-93.6x-172.8,-93.6,-172.8,-81.906601,-174.598999,-11.693399,1.798999
225,a-90x-172.8,-90,-172.8,-78.1871033,-174.4600067,-11.8128967,1.6600067
226,a-86.4x-172.8,-86.4,-172.8,-74.4722977,-174.276001,-11.9277023,1.476001
227,a-82.8x-172.8,-82.8,-172.8,-70.7544022,-174.0980072,-12.0455978,1.2980072
228,a-79.2x-172.8,-79.2,-172.8,-67.0484009,-173.9340057,-12.1515991,1.1340057
229,a-75.6x-172.8,-75.6,-172.8,-63.350399,-173.7610016,-12.249601,0.9610016
230,a-72x-172.8,-72,-172.8,-59.6599007,-173.5769958,-12.3400993,0.7769958
231,a-68.4x-172.8,-68.4,-172.8,-55.9775009,-173.3860016,-12.4224991,0.5860016
232,a-64.8x-172.8,-64.8,-172.8,-52.3003998,-173.1929932,-12.4996002,0.3929932
233,a-61.2x-172.8,-61.2,-172.8,-48.6305008,-172.9929962,-12.5694992,0.1929962
234,a-57.6x-172.8,-57.6,-172.8,-44.9678993,-172.7910004,-12.6321007,-0.0089996
235,a-54x-172.8,-54,-172.8,-41.3147011,-172.5850067,-12.6852989,-0.2149933
236,a-50.4x-172.8,-50.4,-172.8,-37.6727982,-172.3699951,-12.7272018,-0.4300049
237,a-46.8x-172.8,-46.8,-172.8,-34.0379982,-172.1499939,-12.7620018,-0.6500061
238,a-43.2x-172.8,-43.2,-172.8,-30.4111996,-171.9309998,-12.7888004,-0.8690002
239,a-39.6x-172.8,-39.6,-172.8,-26.7961998,-171.7059937,-12.8038002,-1.0940063
240,a-36x-172.8,-36,-172.8,-23.1924992,-171.4730072,-12.8075008,-1.3269928
241,a-32.4x-172.8,-32.4,-172.8,-19.5972996,-171.2409973,-12.8027004,-1.5590027
242,a-28.8x-172.8,-28.8,-172.8,-16.0140991,-171.0050049,-12.7859009,-1.7949951
243,a-25.2x-172.8,-25.2,-172.8,-12.4412003,-170.7720032,-12.7587997,-2.0279968
244,a-21.6x-172.8,-21.6,-172.8,-8.8802996,-170.5359955,-12.7197004,-2.2640045
245,a-18x-172.8,-18,-172.8,-5.3295298,-170.2969971,-12.6704702,-2.5030029
246,a-14.4x-172.8,-14.4,-172.8,-1.7905,-170.0570068,-12.6095,-2.7429932
247,a-10.8x-172.8,-10.8,-172.8,1.73646,-169.8220062,-12.53646,-2.9779938
248,a-7.2x-172.8,-7.2,-172.8,5.2528501,-169.5890045,-12.4528501,-3.2109955
249,a-3.6x-172.8,-3.6,-172.8,8.7574501,-169.3560028,-12.3574501,-3.4439972
250,a0x-172.8,0,-172.8,12.2510004,-169.1230011,-12.2510004,-3.6769989
251,a3.6x-172.8,3.6,-172.8,15.7319002,-168.8959961,-12.1319002,-3.9040039
252,a7.2x-172.8,7.2,-172.8,19.2026997,-168.6699982,-12.0026997,-4.1300018
253,a10.8x-172.8,10.8,-172.8,22.6618004,-168.4440002,-11.8618004,-4.3559998
254,a14.4x-172.8,14.4,-172.8,26.1114006,-168.223999,-11.7114006,-4.576001
255,a18x-172.8,18,-172.8,29.5505009,-168.0149994,-11.5505009,-4.7850006
256,a21.6x-172.8,21.6,-172.8,32.9790993,-167.8130035,-11.3790993,-4.9869965
257,a25.2x-172.8,25.2,-172.8,36.3978004,-167.6130066,-11.1978004,-5.1869934
258,a28.8x-172.8,28.8,-172.8,39.8083992,-167.4120026,-11.0083992,-5.3879974
259,a32.4x-172.8,32.4,-172.8,43.2094994,-167.2169952,-10.8094994,-5.5830048
260,a36x-172.8,36,-172.8,46.6015015,-167.029007,-10.6015015,-5.770993
261,a39.6x-172.8,39.6,-172.8,49.9860992,-166.8529968,-10.3860992,-5.9470032
262,a43.2x-172.8,43.2,-172.8,53.3619995,-166.6829987,-10.1619995,-6.1170013
263,a46.8x-172.8,46.8,-172.8,56.7313995,-166.5200043,-9.9313995,-6.2799957
264,a50.4x-172.8,50.4,-172.8,60.0950012,-166.3670044,-9.6950012,-6.4329956
265,a54x-172.8,54,-172.8,63.4502983,-166.223999,-9.4502983,-6.576001
266,a57.6x-172.8,57.6,-172.8,66.7984009,-166.0919952,-9.1984009,-6.7080048
267,a61.2x-172.8,61.2,-172.8,70.1445007,-165.9660034,-8.9445007,-6.8339966
268,a64.8x-172.8,64.8,-172.8,73.4861984,-165.8480072,-8.6861984,-6.9519928
269,a68.4x-172.8,68.4,-172.8,76.8203964,-165.7369995,-8.4203964,-7.0630005
270,a72x-172.8,72,-172.8,80.1492004,-165.6360016,-8.1492004,-7.1639984
271,a75.6x-172.8,75.6,-172.8,83.475502,-165.5480042,-7.875502,-7.2519958
272,a79.2x-172.8,79.2,-172.8,86.8015976,-165.4680023,-7.6015976,-7.3319977
273,a82.8x-172.8,82.8,-172.8,90.125,-165.3959961,-7.325,-7.4040039
274,a86.4x-172.8,86.4,-172.8,93.4438019,-165.3320007,-7.0438019,-7.4679993
275,a90x-172.8,90,-172.8,96.7594986,-165.276001,-6.7594986,-7.523999
276,a93.6x-172.8,93.6,-172.8,100.0780029,-165.2330017,-6.4780029,-7.5669983
277,a97.2x-172.8,97.2,-172.8,103.3970032,-165.1999969,-6.1970032,-7.6000031
278,a100.8x-172.8,100.8,-172.8,106.711998,-165.177002,-5.911998,-7.622998
279,a104.4x-172.8,104.4,-172.8,110.0279999,-165.1629944,-5.6279999,-7.6370056
280,a108x-172.8,108,-172.8,113.3479996,-165.1600037,-5.3479996,-7.6399963
281,a111.6x-172.8,111.6,-172.8,116.6719971,-165.1670074,-5.0719971,-7.6329926
282,a115.2x-172.8,115.2,-172.8,119.9960022,-165.1809998,-4.7960022,-7.6190002
283,a118.8x-172.8,118.8,-172.8,123.3190002,-165.2059937,-4.5190002,-7.5940063
284,a122.4x-172.8,122.4,-172.8,126.6470032,-165.2380066,-4.2470032,-7.5619934
285,a126x-172.8,126,-172.8,129.9839935,-165.2799988,-3.9839935,-7.5200012
286,a129.6x-172.8,129.6,-172.8,133.322998,-165.3280029,-3.722998,-7.4719971
287,a133.2x-172.8,133.2,-172.8,136.6640015,-165.3869934,-3.4640015,-7.4130066
288,a136.8x-172.8,136.8,-172.8,140.0140076,-165.4559937,-3.2140076,-7.3440063
289,a140.4x-172.8,140.4,-172.8,143.3699951,-165.5310059,-2.9699951,-7.2689941
290,a144x-172.8,144,-172.8,146.7319946,-165.6089935,-2.7319946,-7.1910065
291,a147.6x-172.8,147.6,-172.8,150.102005,-165.6880035,-2.502005,-7.1119965
292,a151.2x-172.8,151.2,-172.8,153.4799957,-165.776001,-2.2799957,-7.023999
293,a154.8x-172.8,154.8,-172.8,156.8630066,-165.8730011,-2.0630066,-6.9269989
294,a158.4x-172.8,158.4,-172.8,160.253006,-165.973999,-1.853006,-6.826001
295,a162x-172.8,162,-172.8,163.6589966,-166.076004,-1.6589966,-6.723996
296,a165.6x-172.8,165.6,-172.8,167.0740051,-166.1790009,-1.4740051,-6.6209991
297,a169.2x-172.8,169.2,-172.8,170.4889984,-166.2870026,-1.2889984,-6.5129974
298,a172.8x-172.8,172.8,-172.8,173.9129944,-166.3970032,-1.1129944,-6.4029968
