FID,index,x,y,dx,dy,,
237,a-46.8x-172.8,-46.8,-172.8,-46.2985992,-171.7899933,-0.5014008,-1.0100067
238,a-43.2x-172.8,-43.2,-172.8,-42.7223015,-171.7929993,-0.4776985,-1.0070007
239,a-39.6x-172.8,-39.6,-172.8,-39.144001,-171.7949982,-0.455999,-1.0050018
240,a-36x-172.8,-36,-172.8,-35.5649986,-171.7969971,-0.4350014,-1.0030029
241,a-32.4x-172.8,-32.4,-172.8,-31.9871998,-171.798996,-0.4128002,-1.001004
242,a-28.8x-172.8,-28.8,-172.8,-28.4106007,-171.8000031,-0.3893993,-0.9999969
243,a-25.2x-172.8,-25.2,-172.8,-24.8330994,-171.802002,-0.3669006,-0.997998
244,a-21.6x-172.8,-21.6,-172.8,-21.2546997,-171.8029938,-0.3453003,-0.9970062
245,a-18x-172.8,-18,-172.8,-17.6765995,-171.8040009,-0.3234005,-0.9959991
246,a-14.4x-172.8,-14.4,-172.8,-14.0992002,-171.8049927,-0.3007998,-0.9950073
247,a-10.8x-172.8,-10.8,-172.8,-10.5214005,-171.8059998,-0.2785995,-0.9940002
248,a-7.2x-172.8,-7.2,-172.8,-6.9434099,-171.8070068,-0.2565901,-0.9929932
249,a-3.6x-172.8,-3.6,-172.8,-3.3657899,-171.8070068,-0.2342101,-0.9929932
250,a0x-172.8,0,-172.8,0.211643,-171.8079987,-0.211643,-0.9920013
251,a3.6x-172.8,3.6,-172.8,3.7899799,-171.8079987,-0.1899799,-0.9920013
252,a7.2x-172.8,7.2,-172.8,7.36865,-171.8079987,-0.16865,-0.9920013
253,a10.8x-172.8,10.8,-172.8,10.9459,-171.8070068,-0.1459,-0.9929932
254,a14.4x-172.8,14.4,-172.8,14.5227003,-171.8070068,-0.1227003,-0.9929932
255,a18x-172.8,18,-172.8,18.1007996,-171.8059998,-0.1007996,-0.9940002
256,a21.6x-172.8,21.6,-172.8,21.6800995,-171.8049927,-0.0800995,-0.9950073
257,a25.2x-172.8,25.2,-172.8,25.2586002,-171.8049927,-0.0586002,-0.9950073
258,a28.8x-172.8,28.8,-172.8,28.8349991,-171.8029938,-0.0349991,-0.9970062
259,a32.4x-172.8,32.4,-172.8,32.4117012,-171.802002,-0.0117012,-0.997998
260,a36x-172.8,36,-172.8,35.9910011,-171.8000031,0.0089989,-0.9999969
261,a39.6x-172.8,39.6,-172.8,39.5712013,-171.798996,0.0287987,-1.001004
262,a43.2x-172.8,43.2,-172.8,43.1483994,-171.7969971,0.0516006,-1.0030029
263,a46.8x-172.8,46.8,-172.8,46.7237015,-171.7949982,0.0762985,-1.0050018
264,a50.4x-172.8,50.4,-172.8,50.3013,-171.7920074,0.0987,-1.0079926
265,a54x-172.8,54,-172.8,53.8820992,-171.7899933,0.1179008,-1.0100067
266,a57.6x-172.8,57.6,-172.8,57.4617004,-171.7870026,0.1382996,-1.0129974
267,a61.2x-172.8,61.2,-172.8,61.0367012,-171.7839966,0.1632988,-1.0160034
268,a64.8x-172.8,64.8,-172.8,64.6113968,-171.7810059,0.1886032,-1.0189941
269,a68.4x-172.8,68.4,-172.8,68.191597,-171.7769928,0.208403,-1.0230072
270,a72x-172.8,72,-172.8,71.773201,-171.7740021,0.226799,-1.0259979
271,a75.6x-172.8,75.6,-172.8,75.3504028,-171.7700043,0.2495972,-1.0299957
272,a79.2x-172.8,79.2,-172.8,78.9237976,-171.7660065,0.2762024,-1.0339935
273,a82.8x-172.8,82.8,-172.8,82.5011978,-171.7610016,0.2988022,-1.0389984
274,a86.4x-172.8,86.4,-172.8,86.0836029,-171.7559967,0.3163971,-1.0440033
275,a90x-172.8,90,-172.8,89.6651001,-171.7510071,0.3348999,-1.0489929
276,a93.6x-172.8,93.6,-172.8,93.2406006,-171.7460022,0.3593994,-1.0539978
277,a97.2x-172.8,97.2,-172.8,96.8150024,-171.7400055,0.3849976,-1.0599945
278,a100.8x-172.8,100.8,-172.8,100.3949966,-171.7339935,0.4050034,-1.0660065
